id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51811570,Condo in Munich · 1 bedroom · 1 bed · 1 bath,97487267,Faryar,,Neuhausen-Nymphenburg,48.14347,11.53846,Entire home/apt,243,7,0,,,1,87,0,
51830972,Condo in Munich · 1 bedroom · 1 bed · 1 bath,96360190,Max,,Neuhausen-Nymphenburg,48.15228,11.51146,Entire home/apt,81,47,2,2022-10-01,0.10,1,299,1,
51836043,Serviced apartment in Munich · Studio · 1 bed · 1 bath,21093076,Joern,,Sendling-Westpark,48.11961,11.53436,Entire home/apt,69,90,0,,,7,239,0,
51842232,Rental unit in Munich · ★4.80 · 2 bedrooms · 2 beds · 1.5 baths,16428773,Larissa,,Au-Haidhausen,48.137623348941574,11.598525694697043,Entire home/apt,143,2,15,2023-03-02,0.69,2,0,6,
51853060,Rental unit in Munich · ★4.67 · 1 bedroom · 1 bed · 1 bath,417440162,Rebecca Staal,,Ludwigsvorstadt-Isarvorstadt,48.13158,11.56699,Entire home/apt,110,3,6,2022-11-15,0.67,1,0,6,
51873589,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,43519501,Sandra,,Neuhausen-Nymphenburg,48.14829,11.53523,Shared room,45,1,5,2022-02-03,0.24,2,0,0,
51879338,Serviced apartment in Munich · ★4.70 · 1 bedroom · 1 bed · 1 bath,346872055,Maximilian,,Maxvorstadt,48.15303,11.554977,Entire home/apt,122,6,10,2023-06-12,0.60,1,304,6,
51895527,Townhouse in Munich · ★4.0 · 1 bedroom · 2 beds · 1.5 shared baths,7567345,Petra,,Milbertshofen-Am Hart,48.20241,11.57366,Private room,38,2,4,2022-03-06,0.18,2,0,0,
51908338,Condo in Munich · ★4.52 · 1 bedroom · 2 beds · 1 bath,350565978,Анастасія,,Milbertshofen-Am Hart,48.18060739641144,11.552539916982195,Entire home/apt,120,1,21,2023-06-09,2.01,1,1,21,
51914332,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,32619706,Selina,,Schwabing-Freimann,48.18601,11.59203,Entire home/apt,59,6,0,,,1,0,0,
51919715,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,43325375,Josephin,,Sendling-Westpark,48.11146,11.53591,Private room,49,2,51,2023-06-25,2.36,1,40,32,
51936792,Condo in Munich · 1 bedroom · 1 bed · 1 bath,420660809,Sebastian,,Allach-Untermenzing,48.18926,11.46611,Entire home/apt,67,180,1,2021-11-30,0.05,2,24,0,
51937800,Rental unit in Munich · ★5.0 · 1 bedroom · 2 beds · 1 bath,22183201,Jordy,,Neuhausen-Nymphenburg,48.156261,11.541393,Entire home/apt,100,3,3,2022-08-07,0.14,2,0,1,
51958790,Condo in Munich · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,94680577,Andrei,,Milbertshofen-Am Hart,48.18251,11.57522,Private room,28,2,12,2023-04-17,0.57,1,0,7,
51965130,Rental unit in Munich · 1 bedroom · 2 beds · 1 bath,35355094,Alida,,Ramersdorf-Perlach,48.0983,11.64688,Entire home/apt,44,2,1,2022-09-28,0.11,1,0,1,
51976799,Condo in Munich · 1 bedroom · 1 bed · 1 bath,62500691,Ben,,Ramersdorf-Perlach,48.10976,11.63614,Entire home/apt,9,100,0,,,1,365,0,
51979073,Rental unit in Munich · ★4.61 · 1 bedroom · 2 beds · 1 bath,146200788,Dustin,,Maxvorstadt,48.149384,11.576812,Entire home/apt,72,5,18,2023-03-12,0.83,1,0,6,
52018152,Rental unit in Munich · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,134660265,Amadeusz,,Ramersdorf-Perlach,48.0957,11.65329,Private room,40,1,3,2021-12-08,0.14,1,0,0,
52047463,Hotel in Munich · 1 bedroom · 2 beds · 1 private bath,421366500,Petra,,Altstadt-Lehel,48.135139,11.567562,Private room,400,5,2,2022-10-02,0.17,5,0,2,
52065428,Condo in Munich · ★4.85 · Studio · 1 bed · 1 bath,7911272,Pamela,,Schwabing-Freimann,48.17389,11.58665,Entire home/apt,56,7,13,2023-02-04,0.62,1,177,10,
52065774,Rental unit in Munich · ★4.86 · 1 bedroom · 2 beds · 1 bath,421557523,Orlando,,Schwabing-Freimann,48.19205,11.62192,Entire home/apt,81,2,28,2023-06-17,1.28,2,6,18,
52081502,Rental unit in Munich · ★4.94 · 1 bedroom · 1 bed · 1 bath,217405286,Dennis,,Schwabing-West,48.17557,11.56749,Entire home/apt,132,2,17,2022-10-04,0.78,1,0,7,
52124008,Rental unit in Munich · ★5.0 · 1 bedroom · 2 beds · 1 bath,71004711,Kristian,,Maxvorstadt,48.15262,11.55227,Entire home/apt,333,2,5,2022-10-27,0.53,1,244,5,
